Order ID,Customer ID,Order Date,Product,Category,Sub-Category,Region,State,Sales,Profit
CA-2024-891971,CUST-42711,2024-08-09,Picture Frame Set,Furniture,Furnishings,East,Ohio,121.42,-15.47
CA-2025-412252,CUST-71135,2025-04-01,Epson EcoTank Pro,Technology,Machines,West,California,277.4,6.41
CA-2025-158871,CUST-13987,2025-03-26,Crayola Colored Pencils,Office Supplies,Art,West,California,40.19,20.1
CA-2025-216381,CUST-16893,2025-11-11,Standing Desk Birch,Furniture,Tables,South,North Carolina,147.46,11.27
CA-2025-469599,CUST-49790,2025-03-08,OnePlus 12,Technology,Phones,Central,Michigan,344.46,75.06
CA-2025-929957,CUST-46212,2025-12-05,Compact Refrigerator,Office Supplies,Appliances,Central,Wisconsin,30.15,5.56
CA-2023-748307,CUST-76235,2023-06-30,Manila Envelopes Pack,Office Supplies,Envelopes,West,California,22.15,4.18
CA-2024-465890,CUST-76105,2024-07-19,Floor Rug Geometric,Furniture,Furnishings,West,Washington,78.31,-13.64
CA-2024-297392,CUST-55017,2024-05-04,Google Pixel 8,Technology,Phones,East,Maryland,145.68,-8.63
CA-2024-319963,CUST-18716,2024-02-12,Billy Bookcase White,Furniture,Bookcases,West,Oregon,59.0,-2.47
CA-2024-584299,CUST-80031,2024-05-26,Microwave Oven 900W,Office Supplies,Appliances,East,Ohio,33.2,-5.71
CA-2023-131024,CUST-66661,2023-11-10,Dining Table Oak,Furniture,Tables,East,Ohio,38.97,4.45
CA-2025-351451,CUST-90135,2025-09-19,HP LaserJet Pro Copier,Technology,Copiers,Central,Indiana,216.97,17.84
CA-2024-970045,CUST-27019,2024-10-17,Notebook Spiral,Office Supplies,Paper,South,North Carolina,31.01,7.01
CA-2025-108308,CUST-42217,2025-01-10,Solid Wood Bookcase,Furniture,Bookcases,Central,Indiana,136.46,-1.39
CA-2025-763165,CUST-56175,2025-03-12,Desk Lamp LED,Furniture,Furnishings,West,Oregon,87.1,-0.63
CA-2026-653663,CUST-63222,2026-04-27,Self-Seal Mailing Envelopes,Office Supplies,Envelopes,Central,Michigan,17.81,6.73
CA-2024-109435,CUST-71389,2024-11-27,Canon ImageCLASS,Technology,Copiers,East,Massachusetts,82.11,7.6
CA-2025-221172,CUST-45247,2025-06-30,Compact Refrigerator,Office Supplies,Appliances,East,Maryland,27.88,11.93
CA-2025-820777,CUST-50158,2025-03-12,Industrial Metal Bookshelf,Furniture,Bookcases,West,California,198.79,57.29
CA-2024-151991,CUST-37663,2024-05-30,3-Ring Binder 2-inch,Office Supplies,Binders,West,Colorado,77.64,22.11
CA-2025-604999,CUST-48304,2025-08-14,Billy Bookcase White,Furniture,Bookcases,Central,Indiana,31.56,11.85
CA-2024-717296,CUST-37350,2024-05-13,Desk Lamp LED,Furniture,Furnishings,East,Pennsylvania,10.89,-0.61
CA-2026-976020,CUST-92745,2026-05-04,Autonomous ErgoChair,Furniture,Chairs,Central,Indiana,140.3,28.47
CA-2025-663044,CUST-54425,2025-10-17,3D Printer Ender 3,Technology,Machines,Central,Michigan,217.83,98.02
CA-2024-525695,CUST-17357,2024-10-24,Epson EcoTank Pro,Technology,Machines,South,Tennessee,543.69,61.72
CA-2025-286141,CUST-31352,2025-05-16,Samsung Galaxy S24,Technology,Phones,West,California,159.29,28.18
CA-2024-566152,CUST-73932,2024-01-31,Compact Refrigerator,Office Supplies,Appliances,South,Virginia,139.86,42.48
CA-2025-105486,CUST-70921,2025-04-30,Google Pixel 8,Technology,Phones,West,California,327.71,51.89
CA-2025-897606,CUST-31689,2025-12-01,Industrial Metal Bookshelf,Furniture,Bookcases,Central,Michigan,551.65,52.34
CA-2023-631089,CUST-99930,2023-08-23,Compact Refrigerator,Office Supplies,Appliances,East,Pennsylvania,48.33,3.48
CA-2025-905497,CUST-98858,2025-08-03,Herman Miller Aeron,Furniture,Chairs,Central,Michigan,222.65,19.3
CA-2024-792440,CUST-67854,2024-05-14,Cricut Maker 3,Technology,Machines,West,Colorado,605.5,-88.81
CA-2023-930914,CUST-25485,2023-02-08,Samsung Galaxy S24,Technology,Phones,West,Washington,545.33,272.67
CA-2024-256542,CUST-23116,2024-03-31,Canon ImageCLASS,Technology,Copiers,South,Tennessee,113.46,13.74
CA-2025-989765,CUST-92848,2025-04-03,Keychron K2 Keyboard,Technology,Accessories,West,Oregon,1406.01,-313.05
CA-2025-586261,CUST-30559,2025-03-25,Canon ImageCLASS,Technology,Copiers,West,Colorado,480.52,45.01
CA-2024-255576,CUST-51430,2024-10-17,Microwave Oven 900W,Office Supplies,Appliances,West,Arizona,10.08,-0.24
CA-2024-109337,CUST-39703,2024-01-08,Floor Rug Geometric,Furniture,Furnishings,West,Washington,82.29,-15.52
CA-2024-965184,CUST-48088,2024-05-16,Epson EcoTank Pro,Technology,Machines,West,Oregon,62.17,5.05
CA-2024-680466,CUST-15713,2024-01-25,Canon ImageCLASS,Technology,Copiers,East,Pennsylvania,1084.61,224.24
CA-2025-867214,CUST-18415,2025-12-24,Canon ImageCLASS,Technology,Copiers,East,New York,1406.48,237.98
CA-2025-932972,CUST-96704,2025-03-05,Logitech MX Master 3S,Technology,Accessories,South,Florida,10.51,2.73
CA-2024-335365,CUST-19860,2024-12-09,Bubble Mailers padded,Office Supplies,Envelopes,Central,Wisconsin,135.33,8.5
CA-2023-606964,CUST-23456,2023-03-24,Steelcase Gesture,Furniture,Chairs,Central,Michigan,85.3,9.38
CA-2024-605950,CUST-46187,2024-05-02,Heavy Duty Binder,Office Supplies,Binders,East,Ohio,38.04,3.94
CA-2023-740053,CUST-52944,2023-09-25,Keychron K2 Keyboard,Technology,Accessories,South,Florida,361.6,-90.25
CA-2026-964141,CUST-49764,2026-06-06,Solid Wood Bookcase,Furniture,Bookcases,South,Virginia,988.86,-67.16
CA-2023-762301,CUST-83553,2023-04-08,Acrylic Paint Set,Office Supplies,Art,South,Georgia,24.26,10.2
CA-2025-170390,CUST-80173,2025-10-16,Billy Bookcase White,Furniture,Bookcases,Central,Wisconsin,44.77,2.84
CA-2023-842729,CUST-95392,2023-07-03,Epson EcoTank Pro,Technology,Machines,East,Maryland,175.72,50.54
CA-2023-779574,CUST-27144,2023-04-21,Sketchbook Medium,Office Supplies,Art,West,Arizona,14.03,-1.36
CA-2023-463714,CUST-93807,2023-10-08,Self-Seal Mailing Envelopes,Office Supplies,Envelopes,Central,Texas,16.4,0.97
CA-2024-385205,CUST-46668,2024-11-12,Logitech MX Master 3S,Technology,Accessories,Central,Illinois,181.02,73.88
CA-2025-470608,CUST-61745,2025-12-05,Standing Desk Birch,Furniture,Tables,South,Florida,29.21,11.79
CA-2025-480975,CUST-65645,2025-12-15,Samsung Galaxy S24,Technology,Phones,West,California,40.32,7.44
CA-2024-575774,CUST-10302,2024-12-19,Conference Table Mahogany,Furniture,Tables,West,Washington,349.06,53.68
CA-2025-662926,CUST-65658,2025-01-19,Keychron K2 Keyboard,Technology,Accessories,East,Ohio,207.44,57.26
CA-2026-531734,CUST-83688,2026-04-30,Cricut Maker 3,Technology,Machines,South,Florida,739.81,172.78
CA-2024-471923,CUST-13596,2024-06-20,Cricut Maker 3,Technology,Machines,South,Florida,281.01,17.56
CA-2023-126069,CUST-16371,2023-04-21,Billy Bookcase White,Furniture,Bookcases,West,Colorado,124.01,22.08
CA-2023-212581,CUST-27260,2023-11-11,iPhone 15 Pro,Technology,Phones,Central,Wisconsin,71.36,11.98
CA-2024-287210,CUST-37139,2024-09-15,Conference Table Mahogany,Furniture,Tables,South,Florida,25.91,-10.38
CA-2024-640677,CUST-19111,2024-07-01,Picture Frame Set,Furniture,Furnishings,South,Virginia,6.33,1.1
CA-2023-899666,CUST-94471,2023-04-28,Steelcase Gesture,Furniture,Chairs,South,North Carolina,216.93,47.28
CA-2023-928533,CUST-40105,2023-11-22,Compact Refrigerator,Office Supplies,Appliances,West,California,38.96,0.5
CA-2023-341983,CUST-88477,2023-01-01,Steelcase Gesture,Furniture,Chairs,South,Virginia,101.65,-26.56
CA-2023-712246,CUST-92180,2023-01-10,Floor Rug Geometric,Furniture,Furnishings,Central,Texas,27.99,7.66
CA-2023-872042,CUST-29216,2023-11-25,Rubber Bands Premium,Office Supplies,Fasteners,South,Florida,90.59,4.46
CA-2024-820801,CUST-80792,2024-01-11,Crayola Colored Pencils,Office Supplies,Art,West,Arizona,87.98,37.03
CA-2025-451005,CUST-68596,2025-05-22,Manila Envelopes Pack,Office Supplies,Envelopes,Central,Michigan,54.24,-13.42
CA-2025-618545,CUST-94056,2025-12-01,Push Pins Colorful,Office Supplies,Fasteners,South,Tennessee,21.14,4.54
CA-2025-502400,CUST-28574,2025-11-12,iPhone 15 Pro,Technology,Phones,South,Georgia,318.71,83.63
CA-2023-323810,CUST-64917,2023-07-17,Watercolor Brushes,Office Supplies,Art,East,Massachusetts,76.1,21.97
CA-2024-756282,CUST-19446,2024-04-22,Logitech MX Master 3S,Technology,Accessories,Central,Wisconsin,119.27,58.65
CA-2025-548396,CUST-56197,2025-05-14,Compact Refrigerator,Office Supplies,Appliances,West,Arizona,27.78,6.18
CA-2026-164772,CUST-30103,2026-03-26,Canon ImageCLASS,Technology,Copiers,East,Ohio,414.94,122.17
CA-2023-964266,CUST-81315,2023-03-10,Coffee Table Pine,Furniture,Tables,East,Pennsylvania,740.71,287.26
CA-2024-306988,CUST-85993,2024-01-31,Standing Desk Birch,Furniture,Tables,Central,Indiana,229.71,61.31
CA-2025-598716,CUST-96066,2025-10-10,Desk Lamp LED,Furniture,Furnishings,East,Ohio,154.84,26.48
CA-2025-232717,CUST-32116,2025-03-24,Billy Bookcase White,Furniture,Bookcases,Central,Michigan,228.68,-12.77
CA-2026-611411,CUST-67545,2026-03-06,Samsung Galaxy S24,Technology,Phones,Central,Michigan,208.11,40.79
CA-2024-763937,CUST-83509,2024-06-20,Presentation Folder Pack,Office Supplies,Binders,East,Ohio,32.08,3.31
CA-2026-906388,CUST-77526,2026-04-17,iPhone 15 Pro,Technology,Phones,South,North Carolina,405.16,-20.49
CA-2023-990324,CUST-26241,2023-06-05,Canon ImageCLASS,Technology,Copiers,West,California,69.38,5.28
CA-2024-830880,CUST-30806,2024-07-14,Anker USB-C Hub,Technology,Accessories,South,North Carolina,648.34,123.43
CA-2023-159676,CUST-12717,2023-02-01,iPhone 15 Pro,Technology,Phones,East,Ohio,32.19,5.6
CA-2023-481915,CUST-16645,2023-07-13,Keychron K2 Keyboard,Technology,Accessories,East,Ohio,72.48,35.57
CA-2025-402950,CUST-22342,2025-07-13,Heavy Duty Binder,Office Supplies,Binders,South,Georgia,28.65,9.12
CA-2025-605815,CUST-86534,2025-04-12,Acrylic Paint Set,Office Supplies,Art,Central,Illinois,77.41,29.33
CA-2024-779520,CUST-49986,2024-08-01,Presentation Folder Pack,Office Supplies,Binders,West,Colorado,152.93,-23.67
CA-2023-354726,CUST-14425,2023-01-07,Canon ImageCLASS,Technology,Copiers,South,Tennessee,841.42,48.72
CA-2024-360910,CUST-18705,2024-11-30,3D Printer Ender 3,Technology,Machines,East,Pennsylvania,185.43,80.35
CA-2025-238155,CUST-72516,2025-06-23,Microwave Oven 900W,Office Supplies,Appliances,East,Massachusetts,11.79,0.35
CA-2024-643351,CUST-58285,2024-12-14,Rubber Bands Premium,Office Supplies,Fasteners,West,California,34.84,15.9
CA-2023-123752,CUST-70774,2023-08-25,Dining Table Oak,Furniture,Tables,East,Massachusetts,40.47,2.66
CA-2023-356609,CUST-86908,2023-01-29,Bubble Mailers padded,Office Supplies,Envelopes,East,Pennsylvania,38.94,5.78
CA-2023-328504,CUST-49952,2023-02-03,Coffee Table Pine,Furniture,Tables,South,Tennessee,7.76,2.29
CA-2023-575781,CUST-91182,2023-01-27,3-Ring Binder 2-inch,Office Supplies,Binders,Central,Wisconsin,13.68,1.66
CA-2024-490719,CUST-46397,2024-12-02,Floor Rug Geometric,Furniture,Furnishings,South,Florida,26.61,5.19
CA-2025-681780,CUST-63276,2025-03-04,Watercolor Brushes,Office Supplies,Art,West,California,62.53,15.47
CA-2023-366997,CUST-33150,2023-02-24,IKEA Markus,Furniture,Chairs,Central,Texas,12.92,0.96
CA-2026-771210,CUST-77298,2026-03-17,Anker USB-C Hub,Technology,Accessories,Central,Michigan,167.73,26.27
CA-2024-793264,CUST-45111,2024-12-13,iPhone 15 Pro,Technology,Phones,South,Georgia,251.24,66.24
CA-2023-527236,CUST-38145,2023-05-11,Binder Clips Assorted,Office Supplies,Fasteners,East,Massachusetts,25.15,-2.2
CA-2023-302503,CUST-10338,2023-08-04,Manila Envelopes Pack,Office Supplies,Envelopes,South,Tennessee,58.03,6.34
CA-2024-771256,CUST-80855,2024-12-10,IKEA Markus,Furniture,Chairs,South,North Carolina,1103.89,140.56
CA-2025-980889,CUST-29541,2025-09-07,Rubber Bands Premium,Office Supplies,Fasteners,Central,Illinois,14.63,2.74
CA-2025-922494,CUST-16737,2025-04-06,Wall Clock Modern,Furniture,Furnishings,South,Georgia,189.76,55.53
CA-2026-982875,CUST-45435,2026-03-21,Anker USB-C Hub,Technology,Accessories,Central,Michigan,171.13,77.61
CA-2023-833547,CUST-33510,2023-07-02,Notebook Spiral,Office Supplies,Paper,Central,Illinois,65.25,-21.3
CA-2026-210017,CUST-90765,2026-02-05,Sketchbook Medium,Office Supplies,Art,East,Ohio,98.47,27.7
CA-2026-955778,CUST-58543,2026-03-10,Push Pins Colorful,Office Supplies,Fasteners,Central,Illinois,28.13,14.06
CA-2026-989097,CUST-20616,2026-06-16,Autonomous ErgoChair,Furniture,Chairs,South,Virginia,339.45,-5.2
CA-2023-649239,CUST-43933,2023-01-03,Coffee Table Pine,Furniture,Tables,East,Maryland,15.75,-4.69
CA-2025-691652,CUST-53001,2025-08-21,Google Pixel 8,Technology,Phones,West,Colorado,941.21,2.51
CA-2023-910694,CUST-58280,2023-08-14,Compact Refrigerator,Office Supplies,Appliances,South,Tennessee,84.91,6.38
CA-2024-245271,CUST-65554,2024-05-20,Herman Miller Aeron,Furniture,Chairs,East,New York,187.59,5.87
CA-2025-654736,CUST-28297,2025-11-09,HP LaserJet Pro Copier,Technology,Copiers,South,Georgia,275.27,137.64
CA-2025-946936,CUST-85758,2025-06-11,Cricut Maker 3,Technology,Machines,Central,Texas,249.58,24.99
CA-2025-143642,CUST-33874,2025-08-09,Google Pixel 8,Technology,Phones,Central,Texas,797.57,253.49
CA-2025-125559,CUST-91121,2025-08-12,Push Pins Colorful,Office Supplies,Fasteners,South,Tennessee,7.25,2.5
CA-2025-758380,CUST-19903,2025-07-02,iPhone 15 Pro,Technology,Phones,East,Maryland,267.02,116.69
CA-2025-433863,CUST-40561,2025-11-29,Manila Envelopes Pack,Office Supplies,Envelopes,Central,Michigan,96.18,20.37
CA-2023-576840,CUST-75082,2023-04-02,Canon ImageCLASS,Technology,Copiers,Central,Wisconsin,460.95,216.09
CA-2023-148874,CUST-73620,2023-01-07,Logitech MX Master 3S,Technology,Accessories,South,Georgia,60.19,20.27
CA-2023-529725,CUST-87236,2023-12-29,Heavy Duty Binder,Office Supplies,Binders,East,Maryland,36.87,6.8
CA-2023-268383,CUST-41966,2023-01-17,HP LaserJet Pro Copier,Technology,Copiers,South,Georgia,231.42,52.85
CA-2025-363579,CUST-71246,2025-09-20,Paper Clips Jumbo,Office Supplies,Fasteners,Central,Indiana,13.59,3.24
CA-2024-895509,CUST-83609,2024-02-05,Keychron K2 Keyboard,Technology,Accessories,West,Colorado,770.34,85.75
CA-2024-776555,CUST-34860,2024-12-04,Watercolor Brushes,Office Supplies,Art,Central,Indiana,6.12,2.64
CA-2024-111745,CUST-54569,2024-07-23,Standing Desk Birch,Furniture,Tables,West,California,31.95,1.22
CA-2023-666134,CUST-78878,2023-02-08,Google Pixel 8,Technology,Phones,West,Washington,597.81,79.4
CA-2025-868747,CUST-54413,2025-04-28,Google Pixel 8,Technology,Phones,West,Oregon,412.03,64.35
CA-2024-803650,CUST-29982,2024-07-23,OnePlus 12,Technology,Phones,West,Washington,804.1,250.07
CA-2024-529660,CUST-15776,2024-03-05,3D Printer Ender 3,Technology,Machines,South,Georgia,577.56,124.06
CA-2024-707167,CUST-71788,2024-01-22,Cricut Maker 3,Technology,Machines,South,Virginia,641.91,22.13
CA-2026-658819,CUST-61027,2026-06-13,Apple Pencil,Technology,Accessories,Central,Indiana,31.55,6.66
CA-2025-856097,CUST-59268,2025-10-10,Manila Envelopes Pack,Office Supplies,Envelopes,West,Oregon,8.38,0.57
CA-2024-106154,CUST-36143,2024-08-29,iPhone 15 Pro,Technology,Phones,West,California,21.17,-4.58
CA-2023-932599,CUST-79298,2023-08-02,OnePlus 12,Technology,Phones,Central,Indiana,489.89,88.29
CA-2023-998792,CUST-16368,2023-01-02,Logitech MX Master 3S,Technology,Accessories,Central,Indiana,182.14,40.95
CA-2026-778758,CUST-91061,2026-01-31,Conference Table Mahogany,Furniture,Tables,East,Pennsylvania,15.51,1.76
CA-2023-495141,CUST-59786,2023-11-13,Logitech MX Master 3S,Technology,Accessories,South,Florida,498.86,121.67
CA-2026-947982,CUST-23629,2026-01-12,Watercolor Brushes,Office Supplies,Art,West,Arizona,45.95,6.06
CA-2026-877915,CUST-31288,2026-02-24,Dining Table Oak,Furniture,Tables,East,Massachusetts,75.96,24.29
CA-2025-965580,CUST-11560,2025-06-27,Presentation Folder Pack,Office Supplies,Binders,South,Virginia,66.37,7.73
CA-2023-906481,CUST-99899,2023-10-15,Dining Table Oak,Furniture,Tables,East,Maryland,1407.16,334.48
CA-2025-441705,CUST-70315,2025-05-22,Crayola Colored Pencils,Office Supplies,Art,Central,Illinois,87.59,30.97
CA-2025-912395,CUST-88339,2025-03-15,Picture Frame Set,Furniture,Furnishings,West,Washington,509.41,0.28
CA-2024-696387,CUST-75128,2024-08-30,Steelcase Gesture,Furniture,Chairs,West,Arizona,521.73,9.87
CA-2025-800601,CUST-27778,2025-01-24,IKEA Markus,Furniture,Chairs,South,Tennessee,161.75,33.82
CA-2023-943488,CUST-94878,2023-01-21,Heavy Duty Binder,Office Supplies,Binders,South,Georgia,17.2,2.5
CA-2023-720347,CUST-60677,2023-11-14,HP LaserJet Pro Copier,Technology,Copiers,West,California,439.62,189.52
CA-2025-847512,CUST-71272,2025-04-17,Billy Bookcase White,Furniture,Bookcases,Central,Illinois,376.22,-86.55
CA-2024-438511,CUST-92189,2024-09-21,Steelcase Gesture,Furniture,Chairs,West,California,145.92,0.14
CA-2025-471000,CUST-98576,2025-08-29,Picture Frame Set,Furniture,Furnishings,Central,Michigan,338.33,-2.67
CA-2023-560494,CUST-93310,2023-06-05,Wall Clock Modern,Furniture,Furnishings,Central,Indiana,83.59,35.43
CA-2025-846788,CUST-57614,2025-08-26,Herman Miller Aeron,Furniture,Chairs,South,North Carolina,155.46,2.46
CA-2025-396141,CUST-74178,2025-10-05,Desk Lamp LED,Furniture,Furnishings,East,Ohio,6.24,0.82
CA-2023-947644,CUST-99393,2023-08-05,Brother Monochrome Copier,Technology,Copiers,West,Colorado,273.43,17.28
CA-2024-490479,CUST-42556,2024-01-19,Coffee Table Pine,Furniture,Tables,South,Georgia,57.17,7.01
CA-2025-730111,CUST-33196,2025-10-11,Autonomous ErgoChair,Furniture,Chairs,East,Pennsylvania,275.91,11.23
CA-2023-836400,CUST-38625,2023-04-24,Wall Clock Modern,Furniture,Furnishings,West,California,12.71,1.09
CA-2023-201376,CUST-64061,2023-12-11,Paper Clips Jumbo,Office Supplies,Fasteners,West,Oregon,43.74,-1.23
CA-2024-828744,CUST-15704,2024-12-04,Epson EcoTank Pro,Technology,Machines,Central,Wisconsin,339.82,47.85
CA-2024-519139,CUST-49882,2024-05-03,Steelcase Gesture,Furniture,Chairs,East,Massachusetts,280.35,44.16
CA-2025-117772,CUST-35426,2025-09-27,Notebook Spiral,Office Supplies,Paper,East,New York,22.91,6.33
CA-2025-858470,CUST-37723,2025-12-24,Bubble Mailers padded,Office Supplies,Envelopes,West,Oregon,31.8,1.11
CA-2023-734122,CUST-73449,2023-04-12,Binder Clips Assorted,Office Supplies,Fasteners,East,Pennsylvania,33.02,-2.91
CA-2025-325049,CUST-32612,2025-10-23,Coffee Table Pine,Furniture,Tables,Central,Wisconsin,109.35,-21.88
CA-2025-671107,CUST-21563,2025-09-01,Watercolor Brushes,Office Supplies,Art,South,Georgia,61.56,-9.0
CA-2024-648884,CUST-68348,2024-03-02,Acrylic Paint Set,Office Supplies,Art,West,Oregon,107.74,18.18
CA-2023-870188,CUST-88612,2023-11-20,Industrial Metal Bookshelf,Furniture,Bookcases,East,Maryland,245.16,9.5
CA-2024-798012,CUST-46378,2024-01-08,Air Purifier HEPA,Office Supplies,Appliances,West,Washington,47.41,-1.33
CA-2024-854950,CUST-96365,2024-10-05,Microwave Oven 900W,Office Supplies,Appliances,South,Tennessee,14.18,4.53
CA-2025-934800,CUST-28743,2025-08-16,Steelcase Gesture,Furniture,Chairs,West,Arizona,143.14,19.45
CA-2024-712492,CUST-86666,2024-07-12,Binder Clips Assorted,Office Supplies,Fasteners,Central,Indiana,16.65,-4.33
CA-2024-700441,CUST-91929,2024-06-04,Samsung Galaxy S24,Technology,Phones,West,California,113.13,10.26
CA-2024-762587,CUST-46451,2024-06-14,3-Ring Binder 2-inch,Office Supplies,Binders,East,Ohio,49.0,15.24
CA-2025-650448,CUST-74174,2025-09-19,Microwave Oven 900W,Office Supplies,Appliances,Central,Wisconsin,9.53,1.5
CA-2025-385855,CUST-50390,2025-09-14,3-Ring Binder 2-inch,Office Supplies,Binders,East,Maryland,45.62,5.64
CA-2025-998850,CUST-27727,2025-07-09,Self-Seal Mailing Envelopes,Office Supplies,Envelopes,South,Georgia,30.15,9.82
CA-2025-544717,CUST-39371,2025-09-25,Microwave Oven 900W,Office Supplies,Appliances,East,Pennsylvania,111.17,38.77
CA-2024-112323,CUST-64253,2024-09-12,OnePlus 12,Technology,Phones,South,Florida,161.25,16.63
CA-2024-426459,CUST-82240,2024-12-08,Desk Lamp LED,Furniture,Furnishings,West,Colorado,260.53,-44.37
CA-2025-265575,CUST-66549,2025-02-14,Industrial Metal Bookshelf,Furniture,Bookcases,West,Oregon,157.6,-34.66
CA-2023-605629,CUST-19686,2023-12-20,Floor Rug Geometric,Furniture,Furnishings,West,Oregon,53.18,-10.07
CA-2023-125592,CUST-78910,2023-10-14,Heavy Duty Binder,Office Supplies,Binders,East,New York,82.62,12.1
CA-2023-727035,CUST-82982,2023-08-25,Paper Clips Jumbo,Office Supplies,Fasteners,West,Arizona,17.57,3.85
CA-2023-317029,CUST-23395,2023-10-13,Coffee Table Pine,Furniture,Tables,South,Florida,239.43,-41.39
CA-2024-743552,CUST-26163,2024-05-23,3-Ring Binder 2-inch,Office Supplies,Binders,East,New York,9.13,1.41
CA-2025-548330,CUST-94416,2025-01-30,Microwave Oven 900W,Office Supplies,Appliances,South,Georgia,46.3,13.91
CA-2023-826331,CUST-14437,2023-05-23,Cricut Maker 3,Technology,Machines,West,California,54.49,12.29
CA-2024-134594,CUST-97468,2024-08-16,Floor Rug Geometric,Furniture,Furnishings,East,Ohio,395.2,-16.31
CA-2024-644897,CUST-66154,2024-07-31,Heavy Duty Binder,Office Supplies,Binders,West,Washington,51.1,5.49
CA-2025-950741,CUST-73740,2025-03-03,3D Printer Ender 3,Technology,Machines,East,New York,377.82,38.89
CA-2025-123429,CUST-45298,2025-06-17,iPhone 15 Pro,Technology,Phones,East,Maryland,15.46,4.88
CA-2024-664396,CUST-41822,2024-06-20,HP LaserJet Pro Copier,Technology,Copiers,West,Washington,135.16,30.93
CA-2024-402066,CUST-82146,2024-10-24,HP LaserJet Pro Copier,Technology,Copiers,East,New York,28.97,5.17
CA-2024-585278,CUST-56332,2024-11-20,Sticky Notes Neon,Office Supplies,Paper,South,Florida,11.9,1.0
CA-2025-197359,CUST-16406,2025-06-01,3D Printer Ender 3,Technology,Machines,West,California,110.92,10.29
CA-2025-600531,CUST-78828,2025-03-30,Industrial Metal Bookshelf,Furniture,Bookcases,South,Tennessee,549.22,-107.67
CA-2024-914037,CUST-36715,2024-06-02,Billy Bookcase White,Furniture,Bookcases,Central,Wisconsin,7.77,0.07
CA-2024-714106,CUST-73037,2024-01-21,Keychron K2 Keyboard,Technology,Accessories,South,Tennessee,576.33,138.08
CA-2023-778100,CUST-70428,2023-03-06,Standing Desk Birch,Furniture,Tables,Central,Wisconsin,409.29,-61.95
CA-2023-362307,CUST-10671,2023-06-22,Canon ImageCLASS,Technology,Copiers,West,Colorado,247.33,1.3
